date,nh_nl_daily,nh_nl_weekly,sp500_close
2025-02-24,-105,-105,0.0
2025-02-25,-624,-729,0.0
2025-02-26,-862,-1591,0.0
2025-02-27,-1179,-2770,0.0
2025-02-28,-1545,-4315,0.0
2025-03-03,-1833,-6148,0.0
2025-03-04,-2397,-8545,0.0
2025-03-05,-2390,-10830,0.0
2025-03-06,-2235,-12441,0.0
2025-03-07,-2008,-13587,0.0
2025-03-10,-1912,-14320,0.0
2025-03-11,-1561,-14336,0.0
2025-03-12,-1691,-14194,0.0
2025-03-13,-2003,-13800,0.0
2025-03-14,-1955,-13365,0.0
2025-03-17,-1529,-12659,0.0
2025-03-18,-1062,-11713,0.0
2025-03-19,-830,-10631,0.0
2025-03-20,-385,-9455,0.0
2025-03-21,-427,-8191,0.0
2025-03-24,-435,-6623,0.0
2025-03-25,-444,-5112,0.0
2025-03-26,-572,-4155,0.0
2025-03-27,-725,-3818,0.0
2025-03-28,-984,-3972,0.0
2025-03-31,-1847,-5434,0.0
2025-04-01,-2286,-7293,0.0
2025-04-02,-2415,-9273,0.0
2025-04-03,-3520,-12349,0.0
2025-04-04,-5594,-17371,0.0
2025-04-07,-8711,-25357,0.0
2025-04-08,-10535,-34908,0.0
2025-04-09,-11810,-44871,0.0
2025-04-10,-12065,-54650,0.0
2025-04-11,-9899,-62134,0.0
2025-04-14,-6969,-65583,0.0
2025-04-15,-4675,-64664,0.0
2025-04-16,-3253,-59206,0.0
2025-04-17,-1804,-50475,0.0
2025-04-21,-1678,-40343,0.0
2025-04-22,-624,-28902,0.0
2025-04-23,-477,-19480,0.0
2025-04-24,-324,-12835,0.0
2025-04-25,-168,-8328,0.0
2025-04-28,119,-4956,0.0
2025-04-29,180,-2972,0.0
2025-04-30,114,-1180,0.0
2025-05-01,106,-450,0.0
2025-05-02,174,201,0.0
2025-05-05,190,715,0.0
2025-05-06,88,971,0.0
2025-05-07,79,931,0.0
2025-05-08,83,834,0.0
2025-05-09,6,726,0.0
2025-05-12,117,737,0.0
2025-05-13,286,849,0.0
2025-05-14,362,1021,0.0
2025-05-15,390,1323,0.0
2025-05-16,503,1747,0.0
2025-05-19,463,2127,0.0
2025-05-20,519,2640,0.0
2025-05-21,471,2994,0.0
2025-05-22,347,3055,0.0
2025-05-23,180,2873,0.0
2025-05-27,244,2727,0.0
2025-05-28,135,2359,0.0
2025-05-29,177,2073,0.0
2025-05-30,314,1868,0.0
2025-06-02,434,1831,0.0
2025-06-03,394,1878,0.0
2025-06-04,550,2248,0.0
2025-06-05,717,2721,0.0
2025-06-06,937,3523,0.0
2025-06-09,1016,4362,0.0
2025-06-10,996,5044,0.0
2025-06-11,966,5576,0.0
2025-06-12,920,6102,0.0
2025-06-13,644,6196,0.0
2025-06-16,523,6002,0.0
2025-06-17,343,5408,0.0
2025-06-18,196,4588,0.0
2025-06-20,102,3694,0.0
2025-06-23,188,2916,0.0
2025-06-24,323,2319,0.0
2025-06-25,483,2158,0.0
2025-06-26,659,2294,0.0
2025-06-27,864,2815,0.0
2025-06-30,1123,3742,0.0
2025-07-01,1128,4768,0.0
2025-07-02,1252,5832,0.0
2025-07-03,1494,7003,0.0
2025-07-07,1521,8041,0.0
2025-07-08,1405,8787,0.0
2025-07-09,1382,9305,0.0
2025-07-10,1414,9596,0.0
2025-07-11,1057,9525,0.0
2025-07-14,927,9200,0.0
2025-07-15,935,8641,0.0
2025-07-16,791,7911,0.0
2025-07-17,796,7302,0.0
2025-07-18,983,6903,0.0
2025-07-21,1131,6620,0.0
2025-07-22,1148,6711,0.0
2025-07-23,1497,7281,0.0
2025-07-24,1495,7841,0.0
2025-07-25,1429,8479,0.0
2025-07-28,1350,9033,0.0
2025-07-29,1333,9383,0.0
2025-07-30,977,9229,0.0
2025-07-31,748,8829,0.0
2025-08-01,264,7596,0.0
2025-08-04,108,6209,0.0
2025-08-05,-2,4778,0.0
2025-08-06,-40,3388,0.0
2025-08-07,-9,2046,0.0
2025-08-08,336,1405,0.0
2025-08-11,299,956,0.0
2025-08-12,544,1236,0.0
2025-08-13,1073,2201,0.0
2025-08-14,1115,3318,0.0
2025-08-15,1146,4504,0.0
2025-08-18,1236,5749,0.0
2025-08-19,991,6404,0.0
2025-08-20,418,6523,0.0
2025-08-21,274,6253,0.0
2025-08-22,681,5861,0.0
2025-08-25,804,5550,0.0
2025-08-26,987,5391,0.0
2025-08-27,1337,5492,0.0
2025-08-28,1709,6210,0.0
2025-08-29,1367,7159,0.0
2025-09-02,1390,8275,0.0
2025-09-03,1253,8847,0.0
2025-09-04,1043,9086,0.0
2025-09-05,1065,9164,0.0
2025-09-08,1230,9057,0.0
2025-09-09,1291,8639,0.0
2025-09-10,1625,8897,0.0
2025-09-11,2182,9689,0.0
2025-09-12,2149,10585,0.0
2025-09-15,2295,11837,0.0
2025-09-16,2324,13096,0.0
2025-09-17,2345,14211,0.0
2025-09-18,2175,15095,0.0
2025-09-19,2269,15739,0.0
2025-09-22,2230,15787,0.0
2025-09-23,2368,16006,0.0
2025-09-24,2074,15785,0.0
2025-09-25,1518,14979,0.0
2025-09-26,1189,13823,0.0
2025-09-29,955,12603,0.0
2025-09-30,601,10935,0.0
2025-10-01,819,9524,0.0
2025-10-02,1289,8445,0.0
2025-10-03,1734,8105,0.0
2025-10-06,2106,8693,0.0
2025-10-07,2228,9732,0.0
2025-10-08,2223,11000,0.0
2025-10-09,2161,12560,0.0
2025-10-10,1597,13338,0.0
2025-10-13,1054,13103,0.0
2025-10-14,926,12295,0.0
2025-10-15,931,11120,0.0
2025-10-16,814,9706,0.0
2025-10-17,721,8204,0.0
2025-10-20,856,6899,0.0
2025-10-21,853,6155,0.0
2025-10-22,458,5559,0.0
2025-10-23,361,4994,0.0
2025-10-24,875,4938,0.0
2025-10-27,1153,5277,0.0
2025-10-28,1299,5855,0.0
2025-10-29,1524,6523,0.0
2025-10-30,1290,6960,0.0
2025-10-31,766,7268,0.0
2025-11-03,185,7092,0.0
2025-11-04,-407,5810,0.0
2025-11-05,-702,3955,0.0
2025-11-06,-818,1838,0.0
2025-11-07,-1108,-794,0.0
2025-11-10,-897,-2981,0.0
2025-11-11,-446,-4193,0.0
2025-11-12,-164,-4542,0.0
2025-11-13,-89,-4224,0.0
2025-11-14,-84,-3606,0.0
2025-11-17,-647,-3435,0.0
2025-11-18,-1289,-3616,0.0
2025-11-19,-1891,-4610,0.0
2025-11-20,-2181,-6345,0.0
2025-11-21,-2266,-8447,0.0
2025-11-24,-1816,-10174,0.0
2025-11-25,-1162,-11252,0.0
2025-11-26,-730,-11335,0.0
2025-11-28,-8,-10054,0.0
2025-12-01,820,-7343,0.0
2025-12-02,827,-4335,0.0
2025-12-03,829,-1240,0.0
2025-12-04,792,1368,0.0
2025-12-05,827,3357,0.0
2025-12-08,890,4977,0.0
2025-12-09,982,5967,0.0
2025-12-10,1151,6298,0.0
2025-12-11,1410,6881,0.0
2025-12-12,1409,7461,0.0
2025-12-15,1263,7932,0.0
2025-12-16,1001,8106,0.0
2025-12-17,469,7685,0.0
2025-12-18,-89,6614,0.0
2025-12-19,-349,5114,0.0
2025-12-22,-184,3520,0.0
2025-12-23,6,2117,0.0
2025-12-24,192,1046,0.0
2025-12-26,273,318,0.0
2025-12-29,74,-77,0.0
2025-12-30,-232,-220,0.0
2025-12-31,-509,-380,0.0
2026-01-02,-525,-721,0.0
2026-01-05,-178,-905,0.0
2026-01-06,548,-549,0.0
2026-01-07,976,154,0.0
2026-01-08,1527,1607,0.0
2026-01-09,1946,3785,0.0
2026-01-12,2062,6356,0.0
2026-01-13,2016,8897,0.0
2026-01-14,2104,11179,0.0
2026-01-15,2367,12998,0.0
2026-01-16,1914,13936,0.0
2026-01-20,1421,13830,0.0
2026-01-21,1671,13555,0.0
2026-01-22,2127,13620,0.0
2026-01-23,1904,13508,0.0
2026-01-26,1996,13400,0.0
2026-01-27,2318,13351,0.0
2026-01-28,2250,13687,0.0
2026-01-29,1630,13896,0.0
2026-01-30,1160,13385,0.0
2026-02-02,823,12081,0.0
2026-02-03,488,10665,0.0
2026-02-04,250,8919,0.0
2026-02-05,-296,6305,0.0
2026-02-06,243,4298,0.0
2026-02-09,675,3343,0.0
2026-02-10,1119,3302,0.0
2026-02-11,1414,3893,0.0
2026-02-12,1976,5381,0.0
2026-02-13,1616,6747,0.0
2026-02-17,1148,8191,0.0
2026-02-18,823,8771,0.0
2026-02-19,414,8510,0.0
2026-02-20,365,7756,0.0
2026-02-23,208,6550,0.0
2026-02-24,305,4879,0.0
2026-02-25,487,3750,0.0
2026-02-26,700,3302,0.0
2026-02-27,751,3230,0.0
2026-03-02,948,3764,0.0
2026-03-03,648,4047,0.0
2026-03-04,354,4193,0.0
2026-03-05,96,3984,0.0
2026-03-06,-235,3262,0.0
2026-03-09,-629,1933,0.0
2026-03-10,-439,743,0.0
2026-03-11,-597,-802,0.0
2026-03-12,-785,-2235,0.0
2026-03-13,-927,-3516,0.0
2026-03-16,-785,-4397,0.0
2026-03-17,-797,-4959,0.0
2026-03-18,-957,-5287,0.0
2026-03-19,-1165,-6013,0.0
2026-03-20,-1408,-6824,0.0
2026-03-23,-1499,-7538,0.0
2026-03-24,-1649,-8260,0.0
2026-03-25,-1533,-9008,0.0
2026-03-26,-1357,-9568,0.0
2026-03-27,-1476,-10087,0.0
2026-03-30,-1873,-10795,0.0
2026-03-31,-1863,-11250,0.0
2026-04-01,-1795,-11546,0.0
2026-04-02,-1669,-11566,0.0
2026-04-06,-947,-10980,0.0
2026-04-07,-450,-10073,0.0
2026-04-08,-18,-8615,0.0
2026-04-09,193,-6549,0.0
2026-04-10,380,-4306,0.0
2026-04-13,460,-2051,0.0
2026-04-14,865,483,0.0
2026-04-15,871,2301,0.0
2026-04-16,1022,3773,0.0
2026-04-17,1625,5416,0.0
2026-04-20,1866,7089,0.0
2026-04-21,1923,8632,0.0
2026-04-22,1959,10131,0.0
2026-04-23,1912,11178,0.0
2026-04-24,1525,11832,0.0
2026-04-27,1396,12206,0.0
2026-04-28,1095,11676,0.0
2026-04-29,814,10624,0.0
2026-04-30,865,9566,0.0
2026-05-01,1057,8664,0.0
2026-05-04,1094,7846,0.0
2026-05-05,1490,7811,0.0
2026-05-06,2090,8505,0.0
2026-05-07,2169,9579,0.0
2026-05-08,1961,10726,0.0
2026-05-11,1999,11860,0.0
2026-05-12,1453,12256,0.0
2026-05-13,876,12038,0.0
2026-05-14,783,11331,0.0
2026-05-15,367,9608,0.0
2026-05-18,-30,7409,0.0
2026-05-19,-157,5291,0.0
2026-05-20,-236,3056,0.0
2026-05-21,-406,1197,0.0
2026-05-22,-200,121,0.0
2026-05-26,706,44,0.0
2026-05-27,1366,1043,0.0
2026-05-28,1728,2801,0.0
2026-05-29,2024,4982,0.0
2026-06-01,2130,7348,0.0
2026-06-02,1884,9638,0.0
2026-06-03,1543,11381,0.0
2026-06-04,1275,11950,0.0
2026-06-05,723,11307,0.0
2026-06-08,290,9869,0.0
2026-06-09,-88,7757,0.0
2026-06-10,-98,5529,0.0
2026-06-11,-167,3478,0.0
2026-06-12,311,2246,0.0
2026-06-15,777,1748,0.0
2026-06-16,908,1933,0.0
2026-06-17,980,2623,0.0
2026-06-18,876,3587,0.0
2026-06-22,670,4355,0.0
2026-06-23,110,4632,0.0
2026-06-24,-10,4311,0.0
2026-06-25,-83,3451,0.0
2026-06-26,20,2563,0.0
2026-06-29,156,1739,0.0
2026-06-30,540,1403,0.0
2026-07-01,948,1681,0.0
2026-07-02,955,2526,0.0
2026-07-06,1380,3916,0.0
2026-07-07,1343,5342,0.0
2026-07-08,967,6289,0.0
2026-07-09,615,6748,0.0
2026-07-10,278,6486,0.0
2026-07-13,-68,5470,0.0
2026-07-14,-238,4277,0.0
2026-07-15,8,2905,0.0
2026-07-16,91,1653,0.0
2026-07-17,1,687,0.0
2026-07-20,-44,28,0.0
2026-07-21,-122,-372,0.0
2026-07-22,-256,-560,0.0
2026-07-23,-779,-1101,0.0
2026-07-24,-883,-1992,0.0
2026-07-27,-745,-2828,0.0
2026-07-28,-705,-3534,0.0
2026-07-29,-761,-4251,0.0
2026-07-30,-444,-4573,0.0
2026-07-31,-435,-4752,0.0
2026-08-03,-214,-4187,0.0
2026-08-04,5,-3299,0.0
2026-08-05,518,-2036,0.0
2026-08-06,660,-671,0.0
