date,high,low
2023-01-03,3906.75,3814.50
2023-01-04,3896.25,3836.50
2023-01-05,3885.50,3822.50
2023-01-06,3928.75,3819.00
2023-01-09,3973.25,3909.75
2023-01-10,3943.75,3891.50
2023-01-11,3992.50,3934.50
2023-01-12,4021.50,3954.00
2023-01-13,4024.25,3961.75
2023-01-17,4035.25,3996.75
2023-01-18,4033.50,3943.75
2023-01-19,3948.75,3901.75
2023-01-20,3990.50,3911.75
2023-01-23,4056.75,3980.25
2023-01-24,4047.50,4005.25
2023-01-25,4040.50,3963.25
2023-01-26,4077.00,4027.25
2023-01-27,4109.25,4057.25
2023-01-30,4086.00,4029.50
2023-01-31,4091.25,4007.50
2023-02-01,4163.25,4048.50
2023-02-02,4208.50,4136.75
2023-02-03,4194.00,4132.50
2023-02-06,4143.00,4104.00
2023-02-07,4188.25,4098.25
2023-02-08,4179.25,4121.25
2023-02-09,4170.25,4078.25
2023-02-10,4104.25,4060.75
2023-02-13,4150.75,4078.75
2023-02-14,4186.50,4103.75
2023-02-15,4161.75,4113.00
2023-02-16,4168.50,4095.00
2023-02-17,4096.00,4055.75
2023-02-21,4089.25,4002.00
2023-02-22,4025.00,3983.75
2023-02-23,4034.25,3974.25
2023-02-24,4023.25,3947.50
2023-02-27,4024.75,3973.00
2023-02-28,4003.75,3965.00
2023-03-01,3991.00,3943.00
2023-03-02,3995.25,3925.00
2023-03-03,4053.00,3974.00
2023-03-06,4082.50,4041.75
2023-03-07,4064.50,3982.50
2023-03-08,4003.25,3971.50
2023-03-09,4019.75,3909.50
2023-03-10,3941.75,3846.25
2023-03-13,3938.75,3808.75
2023-03-14,3938.00,3855.25
2023-03-15,3931.00,3834.00
2023-03-16,3966.50,3863.25
2023-03-17,3974.00,3923.00
2023-03-20,3989.50,3897.25
2023-03-21,4043.25,3981.75
2023-03-22,4073.75,3966.25
2023-03-23,4039.50,3948.50
2023-03-24,4010.75,3937.00
2023-03-27,4034.25,3997.50
2023-03-28,4023.75,3980.75
2023-03-29,4061.25,4006.00
2023-03-30,4087.75,4052.50
2023-03-31,4142.50,4078.00
2023-04-03,4157.75,4122.75
2023-04-04,4171.75,4115.25
2023-04-05,4135.50,4099.00
2023-04-06,4135.25,4096.50
2023-04-10,4143.00,4098.75
2023-04-11,4151.75,4128.75
2023-04-12,4177.75,4113.50
2023-04-13,4177.00,4110.25
2023-04-14,4189.00,4138.00
2023-04-17,4180.50,4148.00
2023-04-18,4198.25,4164.50
2023-04-19,4187.50,4150.50
2023-04-20,4173.50,4137.00
2023-04-21,4161.00,4135.25
2023-04-24,4164.25,4133.50
2023-04-25,4158.50,4091.50
2023-04-26,4116.25,4068.75
2023-04-27,4166.50,4080.75
2023-04-28,4193.75,4131.50
2023-05-01,4206.25,4178.50
2023-05-02,4191.50,4105.50
2023-05-03,4167.00,4095.00
2023-05-04,4118.00,4062.25
2023-05-05,4163.25,4076.75
2023-05-08,4161.00,4137.50
2023-05-09,4153.00,4131.00
2023-05-10,4173.25,4112.25
2023-05-11,4168.50,4121.50
2023-05-12,4164.50,4111.75
2023-05-15,4156.25,4123.00
2023-05-16,4151.50,4120.00
2023-05-17,4179.00,4122.00
2023-05-18,4215.75,4161.25
2023-05-19,4227.25,4191.50
2023-05-22,4221.75,4186.50
2023-05-23,4222.75,4153.00
2023-05-24,4166.25,4114.00
2023-05-25,4175.50,4131.50
2023-05-26,4221.25,4146.00
2023-05-30,4243.25,4200.00
2023-05-31,4217.75,4174.00
2023-06-01,4239.75,4178.00
2023-06-02,4297.75,4229.00
2023-06-05,4305.75,4273.00
2023-06-06,4294.75,4268.50
2023-06-07,4304.75,4269.25
2023-06-08,4302.50,4262.75
2023-06-09,4325.50,4284.00
2023-06-12,4346.50,4305.25
2023-06-13,4377.75,4335.75
2023-06-14,4394.75,4339.75
2023-06-15,4441.00,4350.00
2023-06-16,4453.35,4415.25
2023-06-20,4462.00,4410.50
2023-06-21,4438.50,4403.50
2023-06-22,4427.00,4393.00
2023-06-23,4426.25,4381.50
2023-06-26,4403.00,4368.50
2023-06-27,4424.75,4371.50
2023-06-28,4430.25,4399.25
2023-06-29,4438.00,4409.75
2023-06-30,4498.00,4433.00
2023-07-03,4494.00,4479.50
2023-07-05,4493.75,4466.25
2023-07-06,4483.50,4419.50
2023-07-07,4476.00,4431.50
2023-07-10,4448.25,4411.25
2023-07-11,4478.50,4439.00
2023-07-12,4523.75,4470.00
2023-07-13,4551.50,4509.25
2023-07-14,4560.50,4531.00
2023-07-17,4565.75,4528.00
2023-07-18,4594.50,4544.75
2023-07-19,4609.25,4582.25
2023-07-20,4594.25,4557.25
2023-07-21,4590.00,4561.75
2023-07-24,4592.50,4560.00
2023-07-25,4608.75,4579.25
2023-07-26,4610.75,4573.75
2023-07-27,4634.50,4553.75
2023-07-28,4616.50,4558.00
2023-07-31,4619.25,4595.25
2023-08-01,4621.75,4591.00
2023-08-02,4593.50,4527.75
2023-08-03,4547.50,4505.75
2023-08-04,4560.75,4493.75
2023-08-07,4541.75,4500.50
2023-08-08,4541.00,4482.00
2023-08-09,4536.25,4478.25
2023-08-10,4544.75,4473.50
2023-08-11,4496.25,4459.00
2023-08-14,4507.75,4465.00
2023-08-15,4517.75,4447.00
2023-08-16,4467.25,4417.00
2023-08-17,4436.75,4377.75
2023-08-18,4396.00,4350.00
2023-08-21,4421.00,4372.25
2023-08-22,4440.00,4394.25
2023-08-23,4476.25,4399.50
2023-08-24,4485.50,4378.50
2023-08-25,4429.00,4365.25
2023-08-28,4449.50,4414.50
2023-08-29,4509.50,4433.50
2023-08-30,4530.75,4496.25
2023-08-31,4541.25,4512.75
2023-09-01,4547.75,4507.25
2023-09-05,4531.25,4499.25
2023-09-06,4503.75,4447.00
2023-09-07,4471.75,4434.25
2023-09-08,4477.50,4443.00
2023-09-11,4493.50,4459.25
2023-09-12,4491.00,4458.75
2023-09-13,4481.00,4446.75
2023-09-14,4513.00,4470.25
2023-09-15,4517.75,4480.00
2023-09-18,4514.50,4487.00
2023-09-19,4509.50,4462.25
2023-09-20,4508.00,4443.25
2023-09-21,4447.00,4366.50
2023-09-22,4399.00,4357.25
2023-09-25,4383.50,4338.25
2023-09-26,4382.00,4305.50
2023-09-27,4336.50,4277.00
2023-09-28,4355.75,4301.00
2023-09-29,4371.25,4311.00
2023-10-02,4355.50,4295.50
2023-10-03,4335.75,4251.25
2023-10-04,4304.00,4235.50
2023-10-05,4302.00,4258.00
2023-10-06,4358.50,4242.25
2023-10-09,4375.75,4299.50
2023-10-10,4419.00,4366.25
2023-10-11,4419.75,4377.25
2023-10-12,4430.50,4355.50
2023-10-13,4407.75,4340.75
2023-10-16,4414.25,4354.50
2023-10-17,4423.25,4365.75
2023-10-18,4399.25,4330.75
2023-10-19,4366.50,4292.75
2023-10-20,4304.25,4243.50
2023-10-23,4280.75,4213.25
2023-10-24,4290.50,4242.00
2023-10-25,4273.50,4203.75
2023-10-26,4205.00,4146.25
2023-10-27,4185.00,4122.25
2023-10-30,4197.50,4143.50
2023-10-31,4215.00,4166.75
2023-11-01,4264.75,4191.25
2023-11-02,4339.75,4257.75
2023-11-03,4391.75,4325.50
2023-11-06,4389.50,4364.25
2023-11-07,4403.25,4366.00
2023-11-08,4407.75,4375.00
2023-11-09,4413.00,4357.75
2023-11-10,4435.50,4354.25
2023-11-13,4436.75,4407.25
2023-11-14,4524.25,4420.25
2023-11-15,4541.25,4510.75
2023-11-16,4529.50,4501.75
2023-11-17,4539.50,4512.75
2023-11-20,4571.00,4520.00
2023-11-21,4567.00,4536.75
2023-11-22,4580.50,4543.00
