date,nh_nyse,nl_nyse,diff_nyse,nh_nasdaq,nl_nasdaq,diff_nasdaq
2024-01-02,245,18,227,412,31,381
2024-01-03,198,25,173,367,42,325
2024-01-04,312,15,297,523,28,495
2024-01-05,156,42,114,289,67,222
2024-01-08,289,23,266,445,35,410
2024-01-09,234,31,203,398,48,350
2024-01-10,267,19,248,467,29,438
2024-01-11,189,45,144,312,71,241
2024-01-12,223,28,195,389,42,347
2024-01-15,298,17,281,512,25,487
2024-01-16,178,38,140,298,58,240
2024-01-17,256,22,234,423,34,389
2024-01-18,201,33,168,356,52,304
2024-01-19,287,19,268,489,28,461
2024-01-22,167,41,126,287,64,223
2024-01-23,245,26,219,412,39,373
2024-01-24,198,35,163,345,55,290
2024-01-25,276,21,255,467,32,435
2024-01-26,189,37,152,312,59,253
2024-01-29,234,29,205,398,44,354
2024-12-09,312,18,294,534,27,507
2024-12-10,267,24,243,456,36,420
2024-12-11,289,21,268,489,31,458
